,UP,DOWN,FLAT
408,0.39030185,0.38420355,0.38707364
409,0.4029061,0.38775492,0.3730739
410,0.3826995,0.38468206,0.401311
411,0.38361618,0.37523505,0.39219746
412,0.3784587,0.38768998,0.37605336
413,0.38440412,0.39473638,0.38546824
414,0.38919303,0.3948979,0.39065793
415,0.38907072,0.38025868,0.39841968
416,0.37887654,0.3748453,0.38223642
417,0.39186808,0.4183895,0.38901916
418,0.37821752,0.3775829,0.38204843
419,0.3910658,0.37591028,0.39302933
420,0.38965237,0.3779322,0.3856343
421,0.35940617,0.3639247,0.38067323
422,0.38438126,0.38209027,0.3725696
423,0.38264078,0.38403735,0.38021845
424,0.3795469,0.36625084,0.3754939
425,0.3983856,0.38798237,0.3910246
426,0.38345033,0.40378818,0.39042267
427,0.37481892,0.38534868,0.3894703
428,0.3955398,0.39211503,0.38146153
429,0.39940122,0.41031185,0.394644
430,0.3762161,0.38731793,0.37599438
431,0.37758717,0.37993386,0.38557875
432,0.38090485,0.37935513,0.38853353
433,0.3866755,0.37786803,0.38119665
434,0.35571066,0.37494344,0.368248
435,0.39158928,0.38175282,0.38508728
436,0.40090844,0.4025529,0.40450242
437,0.40284628,0.37704974,0.3943636
438,0.39392674,0.38851616,0.4033024
439,0.39975026,0.38858813,0.3884112
440,0.3789403,0.38700873,0.36605027
441,0.39381182,0.38877153,0.3928544
442,0.38804024,0.3881676,0.39804018
443,0.3916822,0.4038301,0.37954572
444,0.38798177,0.3757962,0.39374188
445,0.4171242,0.3955151,0.39334375
446,0.38784105,0.39298517,0.39657593
447,0.4014602,0.38673195,0.38760567
448,0.40406963,0.3853708,0.38864714
449,0.37115884,0.36760274,0.36954102
450,0.38654885,0.39148745,0.38980457
451,0.38951117,0.38923052,0.40273207
452,0.38675332,0.37487334,0.4087992
453,0.39793268,0.39069825,0.365859
454,0.39427543,0.404948,0.39044508
455,0.37315002,0.37579486,0.39032176
456,0.3923517,0.37406892,0.39313054
457,0.38445187,0.37971827,0.3870748
458,0.38477638,0.3877445,0.4018191
459,0.38850296,0.37291548,0.39304757
460,0.38146025,0.38491088,0.37315696
461,0.39443198,0.3941097,0.39691865
462,0.38463855,0.38888434,0.39736453
463,0.40810347,0.38065472,0.3907621
464,0.39766842,0.37966773,0.38080642
465,0.3624479,0.38189355,0.39567506
466,0.40810347,0.38065472,0.3907621
467,0.40510267,0.36610445,0.38842225
468,0.3701148,0.379669,0.3869292
469,0.38693815,0.3868332,0.4015484
470,0.3847066,0.3776949,0.38080522
471,0.4069009,0.42125192,0.3780866
472,0.39645147,0.4009455,0.39584666
473,0.37558627,0.38190928,0.39908686
474,0.38048783,0.3732929,0.38855466
475,0.3847565,0.39747953,0.38578323
476,0.3725868,0.39114723,0.3863016
477,0.36915517,0.36207214,0.38031015
478,0.4097485,0.391575,0.3944001
479,0.40534174,0.42922786,0.38541308
480,0.3937902,0.39529872,0.39635822
481,0.3774413,0.37821692,0.3730767
482,0.39727953,0.39081296,0.38097274
483,0.3697053,0.3645629,0.38591945
484,0.38977325,0.38356346,0.39821532
485,0.40404487,0.3908981,0.40729678
486,0.39743593,0.4010195,0.4025111
487,0.39106587,0.38182896,0.38214988
488,0.39164093,0.38242662,0.38857728
489,0.3925694,0.37371296,0.37483642
490,0.3887945,0.38210467,0.40560666
491,0.38991722,0.39920643,0.39017305
492,0.37919295,0.36812395,0.38638368
493,0.37556997,0.38041523,0.37245914
494,0.3930954,0.39350545,0.4035205
495,0.39522964,0.3975999,0.3917024
496,0.37081987,0.3703287,0.37003285
497,0.39173177,0.41268522,0.3823939
498,0.37170497,0.37084404,0.39309812
499,0.38357687,0.377084,0.39592126
500,0.3790695,0.3811205,0.38938123
501,0.3780492,0.39961913,0.3758891
502,0.418931,0.37395132,0.38651285
503,0.38041493,0.37580296,0.3903982
504,0.40207243,0.3844533,0.39885154
505,0.38325068,0.377978,0.3931452
506,0.3852639,0.38463244,0.38965037
507,0.3925694,0.37371296,0.37483642
508,0.38889408,0.39973995,0.38886672
509,0.40105888,0.38849473,0.38688433
510,0.3961991,0.3697135,0.37347388
511,0.41708872,0.4008627,0.39739564
512,0.37896815,0.38444474,0.38752574
513,0.40288928,0.40743446,0.3920961
514,0.38384503,0.41158506,0.38241428
515,0.3852646,0.40180647,0.39916232
516,0.36141908,0.37873513,0.3814722
517,0.37438834,0.37480605,0.3685596
518,0.38953486,0.38831925,0.38806942
519,0.3995424,0.37751538,0.38069186
520,0.3865071,0.39588937,0.39228076
521,0.38513458,0.39506766,0.39288607
522,0.37546337,0.3785548,0.3835961
523,0.39635575,0.3971379,0.39295086
524,0.3877989,0.38905048,0.40145892
525,0.37799287,0.39101127,0.40123624
